source,target,weight
acidez,rubí,1261
cereza,tempranillo,1261
vainilla,negro,1260
seco,final,1258
aroma,balsámico,1258
elaborado,color,1257
picota,vainilla,1257
rojo,densa,1256
coupage,color,1256
cereza,limpio,1254
acidez,regaliz,1253
boca,garnacha,1253
rubí,color,1252
regaliz,negro,1252
equilibrado,fruta,1249
nota,uva,1246
tanino,regaliz,1245
largo,roble,1244
paladar,ribete,1244
untuoso,color,1242
nariz,madera,1241
largo,fina,1240
ciruela,fruta,1239
americano,fruta,1237
acidez,densa,1235
barrica,entrada,1232
tostado,fina,1231
boca,persistencia,1231
tanino,madera,1230
paladar,entrada,1230
francés,nariz,1229
suave,nariz,1226
limpio,alta,1225
limpio,madura,1224
cuerpo,rojo,1222
cacao,color,1221
syrah,fruta,1221
floral,fruta,1221
año,rojo,1220
barrica,brillante,1220
intenso,ribete,1219
capa,madera,1217
tostado,persistencia,1217
americano,roble,1216
acidez,madera,1216
especia,balsámico,1216
brillante,negro,1214
barrica,elaborado,1213
picota,brillante,1213
cuero,color,1213
especia,tempranillo,1212
agradable,boca,1212
nota,vainilla,1211
tanino,cacao,1211
cuerpo,intensidad,1210
barrica,volúmen,1210
toque,madura,1207
rojo,bodega,1206
fruta,ahumado,1205
brillante,largo,1204
pulido,color,1204
limpio,fina,1204
capa,regaliz,1203
tostado,tempranillo,1203
botella,negro,1202
especia,dulce,1200
final,toque,1200
picota,volúmen,1199
elaborado,boca,1198
recomendable,fruta,1195
intenso,lágrima,1194
boca,cuero,1192
granate,capa,1192
intenso,largo,1191
barrica,americano,1190
persistente,fruta,1188
roble,toque,1187
nariz,fresco,1187
lágrima,paladar,1187
granate,aroma,1187
alta,vainilla,1185
rubí,tanino,1184
limpio,especia,1183
entrada,crianza,1183
francés,intenso,1182
cereza,toque,1182
tanino,densa,1181
tostado,rcp,1178
intenso,cereza,1178
aroma,intensidad,1177
nariz,regaliz,1175
vainilla,especia,1174
francés,garnacha,1174
ligero,fruta,1173
acidez,sedoso,1171
violáceo,boca,1171
fruta,potente,1171
vainilla,final,1169
francés,botella,1168
rubí,boca,1165
especia,intensidad,1165
brillante,roble,1160
rojo,especiado,1159
lágrima,balsámico,1158
tostado,balsámico,1158
fruta,pimienta,1157
vainilla,lágrima,1157
aroma,tempranillo,1156
capa,cacao,1156
fruta,café,1153
rojo,agradable,1153
paladar,rcp,1153
sedoso,capa,1151
acidez,dulce,1150
cuerpo,negro,1150
roble,entrada,1150
acidez,cacao,1147
nota,fresco,1146
uva,ribete,1146
capa,dulce,1145
largo,toque,1144
capa,garnacha,1140
acidez,untuoso,1138
capa,uva,1137
brillante,fina,1135
nota,botella,1134
alta,toque,1134
nariz,elaborado,1134
especia,entrada,1130
regaliz,madura,1130
entrada,madura,1129
alta,intensidad,1128
rcp,toque,1126
acidez,uva,1125
persistencia,madura,1125
nota,paladar,1125
granate,negro,1120
madura,madera,1118
brillante,especia,1117
cacao,boca,1116
cereza,paladar,1116
final,tempranillo,1115
cuerpo,madura,1114
mineral,madura,1114
fruta,joven,1113
rojo,cacao,1113
fruta,baja,1112
aroma,elaborado,1112
picota,limpio,1112
mineral,nota,1112
cereza,tostado,1111
año,botella,1110
fruta,monovarietal,1109
capa,elaborado,1109
especia,persistencia,1109
seco,madura,1108
barrica,madera,1108
seco,color,1107
elegante,acidez,1107
fina,tempranillo,1104
crianza,madera,1104
barrica,monovarietal,1104
nariz,cuero,1104
sabroso,boca,1104
rojo,cuero,1102
mineral,negro,1102
fruta,blanca,1101
acidez,elaborado,1101
elaborado,uva,1100
recomendable,rcp,1100
violáceo,color,1100
botella,madura,1097
elegante,tanino,1097
intenso,final,1095
cereza,vainilla,1094
botella,tempranillo,1093
elegante,color,1092
americano,crianza,1092
entrada,negro,1090
mineral,final,1086
limpio,negro,1086
toque,negro,1086
largo,intensidad,1085
capa,botella,1084
sedoso,nariz,1084
barrica,untuoso,1084
elegante,boca,1083
intenso,rcp,1081
goloso,fruta,1080
barrica,vainilla,1079
fruta,marcada,1077
roble,persistencia,1077
largo,vainilla,1076
elegante,rojo,1075
mineral,nariz,1075
coupage,barrica,1075
dulce,madura,1075
aroma,uva,1074
cuerpo,boca,1074
capa,cuero,1073
nueva,fruta,1073
