palabra,frecuencia,degree,weighted_degree,betweenness,closeness,eigenvector,comunidad
melón,72,83,1340,9.888261409333207e-05,0.5214884696016772,0.006974502131503819,3
inicio,77,109,1336,0.0004200294682860266,0.528692879914984,0.0054425006659694535,0
tanino,63,94,1329,0.0004795722237705925,0.5231335436382755,0.005238076609674392,3
fermentar,73,121,1326,0.0006543435775281309,0.5320855614973262,0.004329348877958746,0
acerado,65,95,1325,0.0004946517284030905,0.5247890295358649,0.006421402523792684,3
trabajo,95,124,1318,0.0009348080396908583,0.5309498399146211,0.004968008508781307,0
almendra,65,82,1317,0.0002026128337153944,0.5209424083769634,0.006770574118548629,3
cumple,87,113,1305,0.0002508196649243638,0.5278514588859416,0.005603246865968892,0
sb,91,116,1303,0.0006560194436801156,0.528692879914984,0.004642538312437436,0
llegar,97,123,1298,0.0003658900307674116,0.5306666666666666,0.004655098263854392,0
sorpresa,92,101,1297,0.0003006767794272461,0.5264550264550265,0.005898096587000767,3
comida,91,104,1296,0.00037626869338534043,0.5253431890179514,0.005470615679980037,0
carácter,87,118,1289,0.00037064855373467607,0.5312333155365724,0.005433363196429991,0
semana,61,78,1282,0.00016130227550016852,0.5179593961478397,0.0059922760778783595,3
cortada,54,76,1275,9.38362019303785e-05,0.5184992183428869,0.0064173653424433345,3
aportar,78,110,1269,0.0005469635723904623,0.5289739500265817,0.005869198369328925,3
panadería,56,96,1264,0.0002629945230443065,0.5231335436382755,0.00614435099907767,3
negro,85,114,1261,0.0009562787393561509,0.528131634819533,0.004952030738124229,0
monte,63,85,1240,0.0004902399697802479,0.5220356768100735,0.006342573561786891,3
clásico,104,116,1239,0.0005171443266190176,0.5306666666666666,0.004906064908289201,0
aparecer,71,94,1237,0.0002792631883205502,0.5245123879810226,0.006378397011837865,3
igual,85,122,1222,0.0006536117069290061,0.5323702514713751,0.004563971884360501,0
sencillo,81,93,1210,0.0004176295314752647,0.5242360379346681,0.005445055631852392,3
cosecha,101,103,1205,0.0003003948375304591,0.525065963060686,0.004317909730460718,0
ciruela,58,98,1203,0.0008054591272957809,0.525620707871104,0.005714782950470591,3
tipo,92,115,1194,0.0005534355926005224,0.5284121083377589,0.004847809419323957,0
rico,85,112,1189,0.0003794950332388872,0.5275715800636267,0.0045176876465161525,0
caso,94,115,1171,0.001045874062426066,0.5284121083377589,0.0042464583318028905,0
contar,91,120,1156,0.0009289067696097351,0.5318011758417959,0.004002827964796791,0
perfecto,85,108,1154,0.00032023909660972217,0.5284121083377589,0.004743664026771021,0
redondo,74,90,1153,0.0004809900718675866,0.5234087322461862,0.005816688859326762,3
curioso,85,110,1151,0.0004010226455220465,0.5270127118644068,0.004757829501365166,0
envolvente,61,88,1150,8.641930398844318e-05,0.5228586442459274,0.0056970100707602845,3
zuri,56,81,1139,0.00020686535129108973,0.5190401669274909,0.005234191736181428,3
hondarrabi,56,81,1126,0.0001660605787495091,0.5190401669274909,0.00514556077032682,3
viognier,69,101,1125,0.00046694389079026506,0.5245123879810226,0.0042907398439469575,0
familiar,74,111,1125,0.0027964279960644295,0.5292553191489362,0.004062950769591049,0
pastelería,47,83,1121,0.0002449491436146133,0.5214884696016772,0.005366313208065401,3
cápsula,48,61,1107,0.00021208112477747403,0.5110426296866974,0.004178859953732547,3
hecho,93,107,1105,0.00027715660767322936,0.526176626123744,0.003992652979427287,0
