palabra,frecuencia,degree,weighted_degree,betweenness,closeness,eigenvector,comunidad
menos,35,30,241,0.004497501525035943,0.5266106442577031,0.02120007592271766,2
sutil,20,26,237,0.0003503432320703911,0.49343832020997375,0.023108532927498947,2
inoxidable,21,32,237,0.003086086143032326,0.5013333333333333,0.01854134834061353,2
interesante,32,29,236,0.004009837332740963,0.4973544973544973,0.02133234186072229,2
monovarietal,24,26,233,0.0012660125300926303,0.49343832020997375,0.02324271861756854,1
melocotón,17,29,232,0.0034810172823598706,0.4973544973544973,0.022530119910768358,1
bastante,24,26,230,0.0020802093634611557,0.49343832020997375,0.02346511296359315,1
glicérico,24,27,229,0.0013679843310631802,0.49473684210526314,0.020765433020454565,1
equilibrado,21,25,228,0.0010410555993102357,0.49214659685863876,0.0240189373896969,1
tinto,29,26,228,0.001738509717233122,0.5207756232686981,0.020029588981233096,2
caramelo,18,23,224,0.000203853301475329,0.4895833333333333,0.022956907406739217,1
punto,27,27,215,0.002584059282773585,0.49473684210526314,0.020751206838140166,1
añada,31,27,209,0.0054202403075995055,0.5222222222222223,0.016865593985202015,2
sabor,28,22,196,0.00034151288844655556,0.4883116883116883,0.018964780515128798,2
especiado,23,21,191,0.0007145024354035618,0.48704663212435234,0.019180417112423236,1
nueva,28,25,187,0.002341713355480564,0.5193370165745856,0.01642639995890907,2
vez,29,26,185,0.003755893163106726,0.49343832020997375,0.016309987608542062,2
gusto,23,23,184,0.0021945332262205625,0.4895833333333333,0.01884981710569586,1
aromático,17,21,174,0.0005117553146339128,0.48704663212435234,0.018596828507168466,1
frescor,15,22,171,0.0041691088838090775,0.4883116883116883,0.017098221940945523,1
junto,19,20,170,0.0004702848257291312,0.48578811369509045,0.018158883110592106,1
alta,22,20,169,0.001115856596892674,0.48578811369509045,0.01756684446418765,1
asalmonado,18,19,166,0.0005791440894979409,0.4845360824742268,0.01895185774966139,1
producción,24,22,165,0.003912538580874001,0.5150684931506849,0.013069060857187193,2
corto,17,21,165,0.0012575468614267117,0.48704663212435234,0.017134042515015345,1
naranja,16,20,164,0.0011350768547264167,0.48578811369509045,0.016545835509629736,1
alcohol,16,21,159,0.002956852915608178,0.48704663212435234,0.01668705210961317,1
etiqueta,18,18,154,0.0004195585390829446,0.4832904884318766,0.015132751095341113,2
viura,16,18,153,0.00023703872264573138,0.4832904884318766,0.014908793689187232,2
negro,24,18,152,0.0012734629499904278,0.4832904884318766,0.01728547461025184,1
recomendable,21,18,152,0.0011681268251981644,0.4832904884318766,0.01489183430004193,1
capa,15,20,148,0.002698042466503042,0.48578811369509045,0.014825446257905526,1
francés,23,19,147,0.001852354608640875,0.4845360824742268,0.012808419525331223,2
ribete,15,20,146,0.0029853264521599943,0.48578811369509045,0.014868055830434244,1
primer,25,17,145,0.0015258972705781216,0.48205128205128206,0.016115440773426307,2
creer,24,20,145,0.00277752945149691,0.5122615803814714,0.013966824117950465,2
claro,18,17,142,0.0009489387049405254,0.48205128205128206,0.016524705987677014,2
mismo,26,17,130,0.0019309174346721287,0.48205128205128206,0.013349090689294206,2
fermentación,15,18,127,0.001848766585938051,0.4832904884318766,0.012161478985724604,2
potente,17,14,125,0.00034560245761747644,0.47837150127226463,0.01549738700157243,1
tomar,19,17,122,0.0014778348476721446,0.48205128205128206,0.013409724152852237,1
maceración,18,17,121,0.0017089145235954126,0.48205128205128206,0.012173063834517068,2
excelente,19,17,120,0.0021563751225828834,0.48205128205128206,0.01255550661620631,2
roble,19,13,118,0.0002026342451874367,0.47715736040609136,0.010856063458815195,2
dulzor,15,16,115,0.0017094711712984556,0.48081841432225064,0.013156669641831355,1
cabernet,15,14,114,0.0006622430931226016,0.47837150127226463,0.013492933293522844,1
manzana,15,15,112,0.0014600633371255744,0.47959183673469385,0.012513124501898487,1
tiempo,23,16,112,0.00345552792361303,0.5067385444743935,0.011148327547020654,2
hermano,15,16,110,0.0015735984916210198,0.48081841432225064,0.010845506681058012,2
paso,21,14,106,0.0008307854393871007,0.47837150127226463,0.012063350830213255,2
último,19,14,103,0.0007722721583797929,0.47837150127226463,0.011449915912122863,2
monastrell,15,14,94,0.002338827213670768,0.47837150127226463,0.009944949416167052,1
finca,15,11,81,0.0005028346705443077,0.47474747474747475,0.009160822727433578,2
verdot,16,9,74,0.0007224940266241895,0.4973544973544973,0.006959089079912332,2
precio,21,10,74,0.0012407283996770857,0.473551637279597,0.008151722462498751,2
viñedo,16,10,70,0.0018004558367512064,0.473551637279597,0.0069823363734588684,2
azúcar,17,9,68,0.000896773925559908,0.4723618090452261,0.0081461689139725,2
estilo,19,9,66,0.0007298986648173131,0.4723618090452261,0.007994036306550836,2
maridaje,15,10,62,0.000655400780557226,0.473551637279597,0.008390080737040331,1
ver,22,8,58,0.0003887435051389996,0.47117794486215536,0.004474852188914337,2
anterior,17,7,49,0.0006352637766905601,0.47,0.006030153115460453,2
rico,15,6,42,0.00011377858686995108,0.4688279301745636,0.005826627246830682,2
casa,15,6,40,0.0009346514978555028,0.4688279301745636,0.00534005151416726,2
parecer,17,5,35,0.00029866879053362156,0.46766169154228854,0.005301170571723392,2
